system:index,EVI,NDVI,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,ST_B10,class6,.geo
0000000000000000004f_0,0.4526070943981393,0.7116038,0.01337250000000001,0.02167749999999999,0.04659250000000001,0.054649999999999976,0.32434250000000003,0.188465,0.09856749999999997,333.24495007999997,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.28514286918786,-3.5045210568733784]}"
00000000000000000050_0,0.4144203880416294,0.7019303,0.01285,0.021182499999999993,0.04937,0.050360000000000016,0.2875475,0.16558499999999998,0.09309499999999998,328.76050784,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.295405628298695,-3.505071643102609]}"
00000000000000000051_0,0.4226152083714393,0.70917714,0.013867500000000005,0.021292499999999992,0.04937,0.04950750000000001,0.2909575,0.174,0.09452500000000003,328.21704266,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.29513554455381,-3.50507143901484]}"
00000000000000000052_0,0.4019361958266452,0.7148372,0.014334999999999987,0.02099000000000001,0.04414499999999999,0.043952500000000005,0.26431,0.17224,0.09105999999999997,327.7453559,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.29486546082475,-3.5050712348488715]}"
00000000000000000053_0,0.37504724769729647,0.6792748,0.014967499999999995,0.022364999999999996,0.046262499999999984,0.04895749999999999,0.256335,0.1845325,0.10624,327.3864638,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.29459537711152,-3.5050710306047037]}"
00000000000000000054_0,0.44428594994808496,0.72769636,0.014802499999999996,0.021952499999999986,0.04279749999999999,0.04711499999999999,0.2989325,0.16597,0.10013499999999997,330.2405105,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.29027403985804,-3.50506775206286]}"
00000000000000000055_0,0.3148802781141361,0.58512664,0.021842499999999987,0.02792,0.05143249999999999,0.0628725,0.24022,0.19806250000000003,0.13005499999999998,335.22740167999996,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.28676357294416,-3.5042509093361227]}"
00000000000000000056_0,0.3894820856734055,0.6804378,0.018212499999999993,0.022557500000000008,0.04582249999999999,0.051680000000000004,0.2717625,0.17554000000000003,0.10668,330.66434498,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.28190021851769,-3.506689669481552]}"
00000000000000000057_0,0.4443520443520444,0.65631515,0.02750749999999999,0.034822500000000006,0.061634999999999995,0.0692525,0.33374750000000003,0.20625749999999998,0.12744250000000001,330.0183392,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.28352175207592,-3.505333977125064]}"
00000000000000000058_0,0.3710436585533622,0.663006,0.018955,0.023712499999999997,0.047967499999999996,0.052779999999999994,0.26046,0.17103000000000002,0.11259249999999998,331.0608353,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.28298158585079,-3.5053335619575687]}"
00000000000000000059_0,0.4465477665408515,0.69356465,0.022639999999999993,0.029267500000000002,0.055365,0.0564925,0.31221499999999996,0.16935250000000002,0.09136250000000001,329.05787558,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.28108976102938,-3.5069604326693473]}"
0000000000000000005a_0,0.3803798652694612,0.6313111,0.020907499999999996,0.02814,0.05976500000000001,0.06529249999999998,0.288895,0.1977875,0.12307000000000001,326.89426892,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.28081926278823,-3.507502999699348]}"
0000000000000000005b_0,0.3670266123797722,0.63683045,0.021485000000000004,0.02890999999999999,0.0569325,0.05852750000000001,0.2637875,0.1765025,0.097825,324.50165491999996,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.27595880466735,-3.506142298527196]}"
0000000000000000005c_0,0.3525770753329319,0.63688385,0.0203575,0.026077500000000003,0.051460000000000006,0.05599749999999998,0.25243,0.194625,0.1139675,323.84539508,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.27568872176612,-3.506142088743993]}"
0000000000000000005d_0,0.4249491237714958,0.7165075,0.013152499999999984,0.0203025,0.04574,0.04794000000000001,0.29027000000000003,0.18203000000000003,0.09617500000000001,321.0118565,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.274879309218974,-3.505055909564379]}"
0000000000000000005e_0,0.4378444580526637,0.7155285,0.013537500000000008,0.02198,0.050470000000000015,0.05003000000000002,0.30171,0.1765025,0.09534999999999999,320.76917707999996,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.27460922669418,-3.5050556995334907]}"
0000000000000000005f_0,0.39794632792444606,0.66521275,0.017579999999999985,0.024867499999999987,0.05332999999999999,0.058142499999999986,0.2891975,0.21687250000000002,0.12331750000000002,320.61194816,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.27433893503972,-3.5053268767343466]}"
00000000000000000060_0,0.45070294509756403,0.7434065,0.019257499999999983,0.024070000000000008,0.046125,0.04235749999999999,0.287795,0.16635499999999998,0.0931225,321.56557574,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.27352826857071,-3.5058690204061453]}"
00000000000000000061_0,0.39645943182501653,0.7257849,0.009577499999999989,0.01780000000000001,0.0416975,0.041092500000000004,0.2586175,0.140395,0.07425749999999998,324.4469666,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.269473658630496,-3.5102080471094257]}"
00000000000000000062_0,0.30965338610634147,0.57314485,0.019339999999999996,0.028772500000000006,0.0568225,0.06537500000000002,0.240935,0.20064749999999998,0.125985,325.7629043,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.27028412036994,-3.5099372953241703]}"
00000000000000000063_0,0.39515800500494663,0.66685516,0.017249999999999988,0.026434999999999986,0.055337499999999984,0.05597000000000002,0.28004,0.19729249999999998,0.109045,321.88003358000003,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.25730723335884,-3.5262102192133704]}"
00000000000000000064_0,0.3521440973064202,0.62781304,0.01994499999999999,0.026187500000000002,0.053605000000000014,0.059187500000000004,0.258865,0.206285,0.12411499999999998,329.47829204,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.25514350830459,-3.5300078897098235]}"
00000000000000000065_0,0.29666732612722796,0.50364316,0.028085,0.037105,0.06581500000000001,0.08940999999999999,0.270855,0.2755025,0.16995749999999998,326.52170474,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.25406250476361,-3.530821177882137]}"
00000000000000000066_0,0.3336663630219506,0.62946105,0.014995000000000008,0.022612500000000008,0.050744999999999985,0.055145,0.2425025,0.19124249999999998,0.11187750000000002,328.09741196,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.25352167719144,-3.5316349001620955]}"
